1770363975349498711,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975352715732,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975352882695,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353008992,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353124085,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353237585,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353337159,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353447085,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353556696,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353658585,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975353755918,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
